"Kingdom","Phylum","Class","Order","Family","Genus","Species","db","seq"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","anthropi/daejeonense/haematophilum/intermedium/pseudintermedium","silva",1
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","arsenicoxydans/avellanae/borealis/brenneri/collierea/ficuserectae/fluorescens/frederiksbergensis/gessardii/libanensis/lini/mandelii/migulae/panacis/proteolytica/putida/syringae/thivervalensis/tolaasii/veronii/yamanorum","silva",2
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia/rhizophila","silva",3
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","campinensis/gilardii/laharis/metallidurans/nantongensis/necator/pauculus/plantarum/respiraculi/taiwanensis","silva",4
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA,"silva",5
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"silva",6
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","cellulosilyticum/massiliae/naphthalenivorans/pongamiae/pusense/radiobacter","silva",7
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum","anthropi/daejeonense/haematophilum/intermedium/pseudintermedium/rhizosphaerae","rdp",1
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","arsenicoxydans/avellanae/borealis/brassicacearum/brenneri/chlororaphis/collierea/ficuserectae/fluorescens/frederiksbergensis/gessardii/kilonensis/lini/mandelii/marginalis/migulae/panacis/putida/syringae/thivervalensis/tolaasii/veronii/yamanorum","rdp",2
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia/rhizophila","rdp",3
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","campinensis/gilardii/laharis/metallidurans/necator/pauculus/plantarum/respiraculi/taiwanensis","rdp",4
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA,"rdp",5
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","paradoxus","rdp",6
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","cellulosilyticum/larrymoorei/massiliae/pongamiae/pusense/radiobacter/rubi/vitis","rdp",7
"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Brucellaceae","g__Ochrobactrum","s__","gg",1
"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__","gg",2
"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","s__maltophilia","gg",3
"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Cupriavidus","s__","gg",4
"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__","gg",5
"k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hylemonella","s__","gg",6
"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Agrobacterium","s__","gg",7
