"num","QueryID","Perc.Ident","species","genus","family","order","class","phylum","superkingdom"
1,"Assembly_3_Contig_1_consensus_10F&R.seq",100,"Ochrobactrum daejeonense","Ochrobactrum","Brucellaceae","Rhizobiales","Alphaproteobacteria","Proteobacteria","Bacteria"
2,"Assembly_3_Contig_1_extraction_alignment_consensus_10F&R.seq",99.515,"Agrobacterium fabrum","Agrobacterium","Rhizobiaceae","Rhizobiales","Alphaproteobacteria","Proteobacteria","Bacteria"
3,"Assembly_3_Contig_2_consensus_10F&R.seq",99.505,"Pseudomonas lini","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
4,"Assembly_3_Contig_3_consensus_10F&R.seq",100,"Stenotrophomonas rhizophila","Stenotrophomonas","Xanthomonadaceae","Xanthomonadales","Gammaproteobacteria","Proteobacteria","Bacteria"
5,"Assembly_3_Contig_4_consensus_10F&R.seq",99.505,"Cupriavidus plantarum","Cupriavidus","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
6,"Assembly_3_Contig_4_consensus_10F&R.seq",99.505,"Cupriavidus pauculus","Cupriavidus","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
7,"Assembly_3_Contig_4_consensus_10F&R.seq",99.505,"Cupriavidus campinensis","Cupriavidus","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
8,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Bordetella tumulicola","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
9,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Bordetella trematum","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
10,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter anxifer","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
11,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter aegrifaciens","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
12,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter insuavis","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
13,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter marplatensis","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
14,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter xylosoxidans","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
15,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter denitrificans","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
16,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Achromobacter pulmonis","Achromobacter","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
17,"Assembly_3_Contig_5_consensus_10F&R.seq",99.505,"Bordetella hinzii","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
18,"Assembly_3_Contig_6_consensus_10F&R.seq",99.505,"Variovorax paradoxus","Variovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
19,"Assembly_3_Contig_6_consensus_10F&R.seq",99.505,"Variovorax guangxiensis","Variovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
20,"Assembly_3_Contig_6_consensus_10F&R.seq",99.505,"Variovorax paradoxus","Variovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria"
